,Data,Deschidere,Valmaxima,ValMinima,ValInchidere,InchidereAdj,Volum
0,2018-12-31,109.110001,109.669998,107.550003,109.650002,109.650002,550000000
1,2019-01-02,108.099998,109.139999,107.730003,108.970001,108.970001,550000000
2,2019-01-03,108.480003,108.650002,105.940002,106.330002,106.330002,550000000
3,2019-01-04,107.940002,110.75,107.25,109.610001,109.610001,550000000
4,2019-01-07,109.910004,111.400002,109.300003,110.559998,110.559998,550000000
5,2019-01-08,111.800003,112.559998,111.169998,111.419998,111.419998,550000000
6,2019-01-09,111.800003,112.800003,111.559998,112.669998,112.669998,550000000
7,2019-01-10,111.989998,112.910004,111.5,112.800003,112.800003,550000000
8,2019-01-11,112.18,112.919998,111.730003,112.650002,112.650002,4819100
9,2019-01-14,111.650002,112.699997,111.43,112.419998,112.419998,550000000
10,2019-01-15,112.300003,113.18,110.610001,111.760002,111.760002,550000000
11,2019-01-16,111.449997,112.010002,110.809998,110.910004,110.910004,550000000
12,2019-01-17,110.720001,111.260002,110.160004,111.010002,111.010002,550000000
13,2019-01-18,111.860001,111.93,110.830002,111.040001,111.040001,550000000
14,2019-01-22,110.620003,111.330002,109.75,110.599998,110.599998,550000000
15,2019-01-23,111.190002,111.839996,110.0,111.120003,111.120003,550000000
16,2019-01-24,111.0,111.110001,109.93,110.550003,110.550003,550000000
17,2019-01-25,111.470001,111.5,110.660004,111.089996,111.089996,550000000
18,2019-01-28,110.760002,110.989998,109.949997,110.809998,110.809998,550000000
19,2019-01-29,110.650002,110.93,110.0,110.900002,110.900002,550000000
20,2019-01-30,110.300003,110.580002,108.959999,110.129997,110.129997,550000000
21,2019-01-31,110.099998,111.540001,110.010002,111.519997,111.519997,550000000
22,2019-02-01,111.970001,112.050003,110.93,111.300003,111.300003,550000000
23,2019-02-04,111.410004,111.980003,110.68,111.800003,111.800003,550000000
24,2019-02-05,112.019997,112.739998,111.449997,112.660004,112.660004,550000000
25,2019-02-06,113.849998,113.919998,111.07,111.410004,111.410004,550000000
26,2019-02-07,111.050003,111.110001,109.809998,110.949997,110.949997,550000000
27,2019-02-08,110.459999,111.540001,110.059998,111.510002,111.510002,550000000
28,2019-02-11,111.769997,111.809998,109.25,109.440002,109.440002,550000000
29,2019-02-12,110.209999,110.830002,109.150002,109.199997,109.199997,550000000
30,2019-02-13,109.239998,110.480003,109.230003,110.199997,110.199997,550000000
31,2019-02-14,109.849998,111.5,109.540001,110.660004,110.660004,550000000
32,2019-02-15,111.400002,112.629997,111.029999,112.589996,112.589996,550000000
33,2019-02-19,112.910004,113.769997,112.830002,113.510002,113.510002,550000000
34,2019-02-20,113.599998,114.089996,113.290001,113.68,113.68,550000000
35,2019-02-21,113.400002,114.540001,112.870003,114.290001,114.290001,550000000
36,2019-02-22,114.629997,115.769997,113.949997,115.25,115.25,8734700
37,2019-02-25,115.620003,115.800003,113.459999,113.589996,113.589996,9327700
38,2019-02-26,113.650002,114.010002,112.849998,113.5,113.5,550000000
39,2019-02-27,113.099998,113.510002,112.459999,112.779999,112.779999,550000000
40,2019-02-28,112.900002,113.43,112.75,112.839996,112.839996,550000000
41,2019-03-01,113.449997,114.440002,113.449997,114.010002,114.010002,550000000
42,2019-03-04,114.419998,114.419998,113.089996,114.330002,114.330002,550000000
43,2019-03-05,114.230003,114.540001,113.760002,114.0,114.0,550000000
44,2019-03-06,114.0,115.050003,114.0,114.849998,114.849998,7352800
45,2019-03-07,114.849998,114.900002,113.470001,114.010002,114.010002,550000000
46,2019-03-08,113.459999,113.839996,112.900002,113.809998,113.809998,550000000
47,2019-03-11,114.040001,115.0,114.029999,114.75,114.75,6952700
48,2019-03-12,114.720001,115.300003,114.040001,114.730003,114.730003,9920300
49,2019-03-13,114.839996,114.849998,113.720001,114.089996,114.089996,550000000
50,2019-03-14,114.120003,114.769997,113.93,114.480003,114.480003,550000000
51,2019-03-15,114.5,115.480003,113.68,114.959999,114.959999,14932700
